CAA_airport,postcode
ABERDEEN,AB21 7DU
BELFAST CITY (GEORGE BEST),BT3 9JH
BELFAST INTERNATIONAL,BT29 4AB
BIGGIN HILL,TN16 3BH
BIRMINGHAM,B26 3QJ
BLACKPOOL,FY4 2QY
BOURNEMOUTH,BH23 6SE
BRISTOL,BS48 3DY
CAMPBELTOWN,PA28 6NU
CARDIFF WALES,CF62 3BD
CITY OF DERRY (EGLINTON),BT47 3GY
DUNDEE,DD2 1UH
EAST MIDLANDS INTERNATIONAL,DE74 2SA
EDINBURGH,EH12 9DN
EXETER,EX5 2BD
GATWICK,RH6 0NP
GLASGOW,PA3 2SW
GUERNSEY,GY8 0DS
HEATHROW,TW6 3XA
HUMBERSIDE,DN39 6YH
INVERNESS,IV2 7JB
ISLE OF MAN,IM9 2AS
JERSEY,JE1 1BY
KIRKWALL,KW15 1TH
LEEDS BRADFORD,LS19 7TU
LIVERPOOL (JOHN LENNON),L24 1YD
LONDON CITY,E16 2PX
LUTON,LU2 9QT
MANCHESTER,M90 1QX
NEWCASTLE,NE13 8BZ
NEWQUAY,TR8 4RQ
NORWICH,NR6 6JA
PRESTWICK,KA9 2PL
SOUTHAMPTON,SO18 2NL
SOUTHEND,SS2 6YF
STANSTED,CM24 1RW
STORNOWAY,HS2 0BN
SUMBURGH,ZE3 9JP
TEESSIDE INTERNATIONAL AIRPORT,DL2 1LU
WICK JOHN O GROATS,KW1 4QP
