age_single_year,p_hosp_sympt,p_ICU_hosp,p_death_ICU,p_death_hosp_D,p_death_stepdown
0.0,0.02570711,0.11648585,0.19007043,0.01761910,0.03232351
1.0,0.02570711,0.11648585,0.19007043,0.01761910,0.03232351
2.0,0.02570711,0.11648585,0.19007043,0.01761910,0.03232351
3.0,0.02570711,0.11648585,0.19007043,0.01761910,0.03232351
4.0,0.02570711,0.11648585,0.19007043,0.01761910,0.03232351
5.0,0.00220326,0.13867099,0.19260387,0.01666469,0.02946227
6.0,0.00220326,0.13867099,0.19260387,0.01666469,0.02946227
7.0,0.00220326,0.13867099,0.19260387,0.01666469,0.02946227
8.0,0.00220326,0.13867099,0.19260387,0.01666469,0.02946227
9.0,0.00220326,0.13867099,0.19260387,0.01666469,0.02946227
10.0,0.0007131876,0.1619844328,0.1960937268,0.0161072944,0.0275041285
11.0,0.0007131876,0.1619844328,0.1960937268,0.0161072944,0.0275041285
12.0,0.0007131876,0.1619844328,0.1960937268,0.0161072944,0.0275041285
13.0,0.0007131876,0.1619844328,0.1960937268,0.0161072944,0.0275041285
14.0,0.0007131876,0.1619844328,0.1960937268,0.0161072944,0.0275041285
15.0,0.0003564709,0.1868127655,0.2013431503,0.0160188077,0.0264108495
16.0,0.0003564709,0.1868127655,0.2013431503,0.0160188077,0.0264108495
17.0,0.0003564709,0.1868127655,0.2013431503,0.0160188077,0.0264108495
18.0,0.0003564709,0.1868127655,0.2013431503,0.0160188077,0.0264108495
19.0,0.0003564709,0.1868127655,0.2013431503,0.0160188077,0.0264108495
20.0,0.0006776617,0.2122986516,0.2088799658,0.0164993758,0.0262472629
21.0,0.0006776617,0.2122986516,0.2088799658,0.0164993758,0.0262472629
22.0,0.0006776617,0.2122986516,0.2088799658,0.0164993758,0.0262472629
23.0,0.0006776617,0.2122986516,0.2088799658,0.0164993758,0.0262472629
24.0,0.0006776617,0.2122986516,0.2088799658,0.0164993758,0.0262472629
25.0,0.002196692,0.241167065,0.220537753,0.017839522,0.026996164
26.0,0.002196692,0.241167065,0.220537753,0.017839522,0.026996164
27.0,0.002196692,0.241167065,0.220537753,0.017839522,0.026996164
28.0,0.002196692,0.241167065,0.220537753,0.017839522,0.026996164
29.0,0.002196692,0.241167065,0.220537753,0.017839522,0.026996164
30.0,0.003387582,0.273306547,0.237401800,0.020398104,0.028460227
31.0,0.003387582,0.273306547,0.237401800,0.020398104,0.028460227
32.0,0.003387582,0.273306547,0.237401800,0.020398104,0.028460227
33.0,0.003387582,0.273306547,0.237401800,0.020398104,0.028460227
34.0,0.003387582,0.273306547,0.237401800,0.020398104,0.028460227
35.0,0.005310121,0.313268572,0.263156821,0.025196527,0.030526166
36.0,0.005310121,0.313268572,0.263156821,0.025196527,0.030526166
37.0,0.005310121,0.313268572,0.263156821,0.025196527,0.030526166
38.0,0.005310121,0.313268572,0.263156821,0.025196527,0.030526166
39.0,0.005310121,0.313268572,0.263156821,0.025196527,0.030526166
40.0,0.009786486,0.362618416,0.300576044,0.033899187,0.032916551
41.0,0.009786486,0.362618416,0.300576044,0.033899187,0.032916551
42.0,0.009786486,0.362618416,0.300576044,0.033899187,0.032916551
43.0,0.009786486,0.362618416,0.300576044,0.033899187,0.032916551
44.0,0.009786486,0.362618416,0.300576044,0.033899187,0.032916551
45.0,0.01635260,0.41538278,0.34978270,0.04869271,0.03606801
46.0,0.01635260,0.41538278,0.34978270,0.04869271,0.03606801
47.0,0.01635260,0.41538278,0.34978270,0.04869271,0.03606801
48.0,0.01635260,0.41538278,0.34978270,0.04869271,0.03606801
49.0,0.01635260,0.41538278,0.34978270,0.04869271,0.03606801
50.0,0.01993064,0.45770239,0.40685453,0.07158167,0.04142735
51.0,0.01993064,0.45770239,0.40685453,0.07158167,0.04142735
52.0,0.01993064,0.45770239,0.40685453,0.07158167,0.04142735
53.0,0.01993064,0.45770239,0.40685453,0.07158167,0.04142735
54.0,0.01993064,0.45770239,0.40685453,0.07158167,0.04142735
55.0,0.03430833,0.47970637,0.47439718,0.10883859,0.05260560
56.0,0.03430833,0.47970637,0.47439718,0.10883859,0.05260560
57.0,0.03430833,0.47970637,0.47439718,0.10883859,0.05260560
58.0,0.03430833,0.47970637,0.47439718,0.10883859,0.05260560
59.0,0.03430833,0.47970637,0.47439718,0.10883859,0.05260560
60.0,0.08069742,0.46626811,0.54236795,0.16100564,0.07499941
61.0,0.08069742,0.46626811,0.54236795,0.16100564,0.07499941
62.0,0.08069742,0.46626811,0.54236795,0.16100564,0.07499941
63.0,0.08069742,0.46626811,0.54236795,0.16100564,0.07499941
64.0,0.08069742,0.46626811,0.54236795,0.16100564,0.07499941
65.0,0.08737736,0.40987080,0.60510644,0.22913524,0.11769063
66.0,0.08737736,0.40987080,0.60510644,0.22913524,0.11769063
67.0,0.08737736,0.40987080,0.60510644,0.22913524,0.11769063
68.0,0.08737736,0.40987080,0.60510644,0.22913524,0.11769063
69.0,0.08737736,0.40987080,0.60510644,0.22913524,0.11769063
70.0,0.2040673,0.3096058,0.6524494,0.3080670,0.1868354
71.0,0.2040673,0.3096058,0.6524494,0.3080670,0.1868354
72.0,0.2040673,0.3096058,0.6524494,0.3080670,0.1868354
73.0,0.2040673,0.3096058,0.6524494,0.3080670,0.1868354
74.0,0.2040673,0.3096058,0.6524494,0.3080670,0.1868354
75.0,0.4224277,0.1930244,0.6732042,0.3797091,0.2673483
76.0,0.4224277,0.1930244,0.6732042,0.3797091,0.2673483
77.0,0.4224277,0.1930244,0.6732042,0.3797091,0.2673483
78.0,0.4224277,0.1930244,0.6732042,0.3797091,0.2673483
79.0,0.4224277,0.1930244,0.6732042,0.3797091,0.2673483
80.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
81.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
82.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
83.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
84.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
85.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
86.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
87.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
88.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
89.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
90.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
91.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
92.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
93.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
94.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
95.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
96.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
97.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
98.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
99.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
100.0,0.42727431,0.05152135,0.61786175,0.45641178,0.35498261
